base_success_rate_1,accuracy_1,error_rate_1,selection_rate_1,positive_predictive_value_1,TPR_1,FPR_1,TNR_1,FNR_1,group_1,base_success_rate_2,accuracy_2,error_rate_2,selection_rate_2,positive_predictive_value_2,TPR_2,FPR_2,TNR_2,FNR_2,group_2,common,disparate_impact,demographic_parity_diff,equal_opportunity_difference,false_positive_rate_difference,false_negative_rate_difference,true_negative_rate_difference,average_odds_difference,average_abs_odds_difference,error_rate_difference,error_rate_ratio
0.06,0.94,0.06,0.0,,0.0,0.0,1.0,1.0,"['Amer-Indian-Eskimo', 'Female']",0.13,0.92,0.08,0.08,0.8,0.5,0.02,0.98,0.5,"['Amer-Indian-Eskimo', 'Male']",['Amer-Indian-Eskimo'],0.0,-0.08,-0.5,-0.02,0.5,0.02,-0.26,0.26,-0.01,0.38
0.06,0.94,0.06,0.0,,0.0,0.0,1.0,1.0,"['Amer-Indian-Eskimo', 'Female']",0.1,0.95,0.05,0.05,1.0,0.5,0.0,1.0,0.5,"['Asian-Pac-Islander', 'Female']",['Female'],0.0,-0.05,-0.5,0.0,0.5,0.0,-0.25,0.25,0.0,0.6
0.06,0.94,0.06,0.0,,0.0,0.0,1.0,1.0,"['Amer-Indian-Eskimo', 'Female']",0.06,0.95,0.05,0.04,0.62,0.4,0.02,0.98,0.6,"['Black', 'Female']",['Female'],0.0,-0.04,-0.4,-0.02,0.4,0.02,-0.21,0.21,0.0,0.6
0.06,0.94,0.06,0.0,,0.0,0.0,1.0,1.0,"['Amer-Indian-Eskimo', 'Female']",0.06,1.0,0.0,0.06,1.0,1.0,0.0,1.0,0.0,"['Other', 'Female']",['Female'],0.0,-0.06,-1.0,0.0,1.0,0.0,-0.5,0.5,0.03,
0.06,0.94,0.06,0.0,,0.0,0.0,1.0,1.0,"['Amer-Indian-Eskimo', 'Female']",0.11,0.93,0.07,0.09,0.75,0.58,0.02,0.98,0.42,"['White', 'Female']",['Female'],0.0,-0.09,-0.58,-0.02,0.58,0.02,-0.3,0.3,-0.01,0.43
0.13,0.92,0.08,0.08,0.8,0.5,0.02,0.98,0.5,"['Amer-Indian-Eskimo', 'Male']",0.37,0.78,0.22,0.27,0.79,0.58,0.09,0.91,0.42,"['Asian-Pac-Islander', 'Male']",['Male'],0.3,-0.19,-0.08,-0.07,0.08,0.07,-0.08,0.08,-0.07,0.18
0.13,0.92,0.08,0.08,0.8,0.5,0.02,0.98,0.5,"['Amer-Indian-Eskimo', 'Male']",0.21,0.9,0.1,0.15,0.87,0.61,0.02,0.98,0.39,"['Black', 'Male']",['Male'],0.53,-0.07,-0.11,0.0,0.11,0.0,-0.06,0.06,-0.01,0.4
0.13,0.92,0.08,0.08,0.8,0.5,0.02,0.98,0.5,"['Amer-Indian-Eskimo', 'Male']",0.15,0.95,0.05,0.2,0.75,1.0,0.06,0.94,0.0,"['Other', 'Male']",['Male'],0.4,-0.12,-0.5,-0.04,0.5,0.04,-0.27,0.27,0.01,0.8
0.13,0.92,0.08,0.08,0.8,0.5,0.02,0.98,0.5,"['Amer-Indian-Eskimo', 'Male']",0.33,0.81,0.19,0.28,0.75,0.64,0.11,0.89,0.36,"['White', 'Male']",['Male'],0.29,-0.2,-0.14,-0.09,0.14,0.09,-0.12,0.12,-0.06,0.21
0.1,0.95,0.05,0.05,1.0,0.5,0.0,1.0,0.5,"['Asian-Pac-Islander', 'Female']",0.37,0.78,0.22,0.27,0.79,0.58,0.09,0.91,0.42,"['Asian-Pac-Islander', 'Male']",['Asian-Pac-Islander'],0.19,-0.22,-0.08,-0.09,0.08,0.09,-0.08,0.08,-0.08,0.11
0.1,0.95,0.05,0.05,1.0,0.5,0.0,1.0,0.5,"['Asian-Pac-Islander', 'Female']",0.06,0.95,0.05,0.04,0.62,0.4,0.02,0.98,0.6,"['Black', 'Female']",['Female'],1.25,0.01,0.1,-0.02,-0.1,0.02,0.04,0.06,0.0,0.5
0.1,0.95,0.05,0.05,1.0,0.5,0.0,1.0,0.5,"['Asian-Pac-Islander', 'Female']",0.06,1.0,0.0,0.06,1.0,1.0,0.0,1.0,0.0,"['Other', 'Female']",['Female'],0.83,-0.01,-0.5,0.0,0.5,0.0,-0.25,0.25,0.03,
0.1,0.95,0.05,0.05,1.0,0.5,0.0,1.0,0.5,"['Asian-Pac-Islander', 'Female']",0.11,0.93,0.07,0.09,0.75,0.58,0.02,0.98,0.42,"['White', 'Female']",['Female'],0.56,-0.04,-0.08,-0.02,0.08,0.02,-0.05,0.05,-0.01,0.36
0.37,0.78,0.22,0.27,0.79,0.58,0.09,0.91,0.42,"['Asian-Pac-Islander', 'Male']",0.21,0.9,0.1,0.15,0.87,0.61,0.02,0.98,0.39,"['Black', 'Male']",['Male'],1.8,0.12,-0.03,0.07,0.03,-0.07,0.02,0.05,0.06,1.1
0.37,0.78,0.22,0.27,0.79,0.58,0.09,0.91,0.42,"['Asian-Pac-Islander', 'Male']",0.15,0.95,0.05,0.2,0.75,1.0,0.06,0.94,0.0,"['Other', 'Male']",['Male'],1.35,0.07,-0.42,0.03,0.42,-0.03,-0.2,0.22,0.08,2.2
0.37,0.78,0.22,0.27,0.79,0.58,0.09,0.91,0.42,"['Asian-Pac-Islander', 'Male']",0.33,0.81,0.19,0.28,0.75,0.64,0.11,0.89,0.36,"['White', 'Male']",['Male'],0.96,-0.01,-0.06,-0.02,0.06,0.02,-0.04,0.04,0.01,0.58
0.06,0.95,0.05,0.04,0.62,0.4,0.02,0.98,0.6,"['Black', 'Female']",0.21,0.9,0.1,0.15,0.87,0.61,0.02,0.98,0.39,"['Black', 'Male']",['Black'],0.27,-0.11,-0.21,0.0,0.21,0.0,-0.1,0.1,-0.03,0.25
0.06,0.95,0.05,0.04,0.62,0.4,0.02,0.98,0.6,"['Black', 'Female']",0.06,1.0,0.0,0.06,1.0,1.0,0.0,1.0,0.0,"['Other', 'Female']",['Female'],0.67,-0.02,-0.6,0.02,0.6,-0.02,-0.29,0.31,0.03,
0.06,0.95,0.05,0.04,0.62,0.4,0.02,0.98,0.6,"['Black', 'Female']",0.11,0.93,0.07,0.09,0.75,0.58,0.02,0.98,0.42,"['White', 'Female']",['Female'],0.44,-0.05,-0.18,0.0,0.18,0.0,-0.09,0.09,-0.01,0.36
0.21,0.9,0.1,0.15,0.87,0.61,0.02,0.98,0.39,"['Black', 'Male']",0.15,0.95,0.05,0.2,0.75,1.0,0.06,0.94,0.0,"['Other', 'Male']",['Male'],0.75,-0.05,-0.39,-0.04,0.39,0.04,-0.21,0.22,0.03,1.0
0.21,0.9,0.1,0.15,0.87,0.61,0.02,0.98,0.39,"['Black', 'Male']",0.33,0.81,0.19,0.28,0.75,0.64,0.11,0.89,0.36,"['White', 'Male']",['Male'],0.54,-0.13,-0.03,-0.09,0.03,0.09,-0.06,0.06,-0.04,0.26
0.06,1.0,0.0,0.06,1.0,1.0,0.0,1.0,0.0,"['Other', 'Female']",0.15,0.95,0.05,0.2,0.75,1.0,0.06,0.94,0.0,"['Other', 'Male']",['Other'],0.3,-0.14,0.0,-0.06,0.0,0.06,-0.03,0.03,-0.03,0.0
0.06,1.0,0.0,0.06,1.0,1.0,0.0,1.0,0.0,"['Other', 'Female']",0.11,0.93,0.07,0.09,0.75,0.58,0.02,0.98,0.42,"['White', 'Female']",['Female'],0.67,-0.03,0.42,-0.02,-0.42,0.02,0.2,0.22,-0.04,0.0
0.15,0.95,0.05,0.2,0.75,1.0,0.06,0.94,0.0,"['Other', 'Male']",0.33,0.81,0.19,0.28,0.75,0.64,0.11,0.89,0.36,"['White', 'Male']",['Male'],0.71,-0.08,0.36,-0.05,-0.36,0.05,0.15,0.2,-0.07,0.13
0.11,0.93,0.07,0.09,0.75,0.58,0.02,0.98,0.42,"['White', 'Female']",0.33,0.81,0.19,0.28,0.75,0.64,0.11,0.89,0.36,"['White', 'Male']",['White'],0.32,-0.19,-0.06,-0.09,0.06,0.09,-0.07,0.08,-0.06,0.18
