age_cat,c_charge_degree,decile_score,juv_fel_count,juv_misd_count,juv_other_count,priors_count,race,score_text,sex,two_year_recid
Greater than 45,F,1,0,0,0,0,Other,Low,Male,0
25 - 45,F,3,0,0,0,0,African-American,Low,Male,1
Less than 25,F,4,0,0,1,4,African-American,Low,Male,1
Less than 25,F,8,0,1,0,1,African-American,High,Male,0
25 - 45,F,1,0,0,0,2,Other,Low,Male,0
25 - 45,M,1,0,0,0,0,Other,Low,Male,0
25 - 45,F,6,0,0,0,14,Caucasian,Medium,Male,1
25 - 45,F,4,0,0,0,3,Other,Low,Male,0
25 - 45,M,1,0,0,0,0,Caucasian,Low,Female,0
Less than 25,F,3,0,0,0,1,Caucasian,Low,Male,1
25 - 45,F,4,0,0,0,0,Caucasian,Low,Male,0
Less than 25,M,6,0,0,0,3,African-American,Medium,Male,1
25 - 45,M,1,0,0,0,0,Caucasian,Low,Female,0
25 - 45,F,4,0,0,0,0,African-American,Low,Male,0
Greater than 45,F,1,0,0,0,1,Caucasian,Low,Female,1
25 - 45,F,3,0,0,0,7,African-American,Low,Male,1
25 - 45,M,1,0,0,0,0,Other,Low,Male,0
25 - 45,F,10,0,0,0,3,African-American,High,Male,0
25 - 45,F,5,0,0,0,6,Caucasian,Medium,Male,1
25 - 45,F,3,0,0,0,5,Caucasian,Low,Male,1
Greater than 45,F,6,0,0,0,13,African-American,Medium,Male,1
Less than 25,F,9,0,0,0,1,African-American,High,Male,1
25 - 45,M,2,0,0,0,0,Caucasian,Low,Male,1
Less than 25,F,4,0,0,0,0,Caucasian,Low,Female,0
Less than 25,F,4,0,0,0,1,Other,Low,Male,1
25 - 45,M,1,0,0,0,1,Caucasian,Low,Male,0
25 - 45,M,3,0,0,0,0,Other,Low,Male,0
25 - 45,F,3,0,0,0,8,African-American,Low,Male,1
25 - 45,F,3,0,0,0,3,Caucasian,Low,Female,0
25 - 45,F,7,0,0,1,5,African-American,Medium,Male,1
25 - 45,F,10,0,0,0,0,African-American,High,Male,1
25 - 45,F,9,0,0,0,9,Caucasian,High,Male,1
25 - 45,F,8,0,0,0,4,African-American,High,Male,1
Greater than 45,F,1,0,0,0,0,Caucasian,Low,Male,0
Greater than 45,F,3,0,0,0,7,Other,Low,Male,1
